         1079090 function calls (1068027 primitive calls) in 10.054 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       37    0.002    0.000    0.002    0.000 {built-in method io.open}
     2754    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
    53/48    0.002    0.000    0.011    0.000 {built-in method _imp.exec_dynamic}
    10746    0.002    0.000    0.003    0.000 _mathtext.py:2507(<genexpr>)
        1    0.002    0.002    0.002    0.002 {built-in method _posixsubprocess.fork_exec}
    11504    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     1392    0.002    0.000    0.006    0.000 {built-in method builtins.any}
     5431    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
      634    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:318(__exit__)
     5354    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
        1    0.002    0.002    0.002    0.002 {built-in method torch._C._c10d_init}
       12    0.002    0.000    0.025    0.002 artist.py:1403(get_setters)
     2710    0.002    0.000    0.007    0.000 enum.py:289(__call__)
      188    0.002    0.000    0.002    0.000 colors.py:989(<listcomp>)
     2467    0.002    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      261    0.002    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
  634/630    0.001    0.000    0.345    0.001 <frozen importlib._bootstrap>:576(module_from_spec)
      925    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     4601    0.001    0.000    0.003    0.000 sre_parse.py:254(get)
     1728    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        2    0.001    0.001    0.004    0.002 decoder.py:343(raw_decode)
      270    0.001    0.000    0.006    0.000 typing.py:608(__init__)
      629    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      429    0.001    0.000    0.027    0.000 artist.py:1356(get_valid_values)
      458    0.001    0.000    0.002    0.000 typing.py:113(_type_check)
  441/196    0.001    0.000    0.022    0.000 sre_parse.py:411(_parse_sub)
     7137    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1079    0.001    0.000    0.001    0.000 {built-in method numpy.array}
     1252    0.001    0.000    0.027    0.000 __init__.py:574(__setitem__)
     1424    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(parent)
      629    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     1152    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      948    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        2    0.001    0.001    0.621    0.310 __init__.py:10(<module>)
      612    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      662    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
  698/640    0.001    0.000    0.014    0.000 typing.py:248(inner)
     2003    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       12    0.001    0.000    0.020    0.002 artist.py:1328(get_aliases)
      196    0.001    0.000    0.038    0.000 sre_compile.py:759(compile)
     1205    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:403(cached)
     4194    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1056    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        5    0.001    0.000    0.189    0.038 functional.py:1(<module>)
       35    0.001    0.000    0.594    0.017 __init__.py:1(<module>)
      576    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      662    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
     1755    0.001    0.000    0.026    0.000 artist.py:1422(is_alias)
     2006    0.001    0.000    0.002    0.000 typing.py:595(_is_dunder)
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
     1729    0.001    0.000    0.001    0.000 {built-in method from_bytes}
        1    0.001    0.001    0.001    0.001 {built-in method torch._C._rpc_init}
      746    0.001    0.000    0.002    0.000 inspect.py:484(unwrap)
      196    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
        4    0.001    0.000    0.002    0.000 _builtins.py:115(register_all)
     2172    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      172    0.001    0.000    0.012    0.000 deprecation.py:183(deprecate)
      286    0.001    0.000    0.003    0.000 overrides.py:72(verify_matching_signatures)
  489/228    0.001    0.000    0.004    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      644    0.001    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      576    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     4194    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      576    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      663    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:147(__enter__)
     5858    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {built-in method posix.read}
     1336    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     1635    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     2846    0.001    0.000    0.001    0.000 inspect.py:2799(<genexpr>)
      576    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
     2693    0.001    0.000    0.001    0.000 enum.py:531(__new__)
      410    0.001    0.000    0.003    0.000 copy.py:66(copy)
     1944    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
     1944    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
      355    0.001    0.000    0.002    0.000 enum.py:71(__setitem__)
        3    0.001    0.000    0.001    0.000 {built-in method gc.collect}
  769/603    0.001    0.000    0.001    0.000 typing.py:669(__hash__)
      879    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       31    0.001    0.000    0.002    0.000 function_base.py:23(linspace)
      591    0.001    0.000    0.002    0.000 font_manager.py:955(_json_decode)
      576    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
   141/95    0.001    0.000    0.006    0.000 typing.py:340(__getitem__)
      462    0.001    0.000    0.001    0.000 enum.py:381(__setattr__)
      652    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
       32    0.001    0.000    0.001    0.000 enum.py:182(<setcomp>)
   260/11    0.001    0.000    0.003    0.000 pyparsing.py:1647(_parseNoCache)
      158    0.001    0.000    0.002    0.000 colors.py:214(_to_rgba_no_colorcycle)
    843/4    0.001    0.000    1.272    0.318 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     3893    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2751    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
     3192    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
       12    0.001    0.000    0.002    0.000 artist.py:1339(<listcomp>)
      196    0.001    0.000    0.023    0.000 sre_parse.py:913(parse)
      663    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
     2544    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
       72    0.001    0.000    0.009    0.000 __init__.py:1287(_preprocess_data)
      316    0.001    0.000    0.017    0.000 overrides.py:166(decorator)
      233    0.001    0.000    0.001    0.000 pyparsing.py:1400(__init__)
   430/29    0.001    0.000    0.813    0.028 {built-in method builtins.__import__}
       16    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
     2209    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
     2062    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
       11    0.001    0.000    0.051    0.005 artist.py:1452(pprint_setters)
      634    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
     1409    0.001    0.000    0.003    0.000 re.py:172(match)
     2534    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      290    0.001    0.000    0.001    0.000 typing.py:165(_collect_type_vars)
      196    0.001    0.000    0.001    0.000 enum.py:841(__and__)
      943    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
     1422    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
      108    0.001    0.000    0.006    0.000 docstring.py:38(__call__)
      616    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
       67    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      160    0.001    0.000    0.002    0.000 shape_base.py:612(column_stack)
      782    0.001    0.000    0.001    0.000 functools.py:67(wraps)
     1821    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
      428    0.001    0.000    0.005    0.000 rcsetup.py:377(validate_color)
      429    0.001    0.000    0.001    0.000 artist.py:1429(aliased_name)
       95    0.001    0.000    0.001    0.000 typing.py:212(_remove_dups_flatten)
      446    0.000    0.000    0.003    0.000 colors.py:178(to_rgba)
      872    0.000    0.000    0.002    0.000 colors.py:132(_is_nth_color)
       81    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       67    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
    92/77    0.000    0.000    0.003    0.000 typing.py:180(_subs_tvars)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
      663    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      410    0.000    0.000    0.001    0.000 copy.py:269(_reconstruct)
     1025    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      644    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       56    0.000    0.000    0.002    0.000 __init__.py:689(_open_file_or_url)
      274    0.000    0.000    0.003    0.000 function_base.py:451(add_newdoc)
     3636    0.000    0.000    0.000    0.000 inspect.py:2517(name)
      782    0.000    0.000    0.000    0.000 {built-in method torch._C._add_docstr}
      285    0.000    0.000    0.001    0.000 sre_parse.py:343(_escape)
1453/1143    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
       26    0.000    0.000    0.013    0.001 traceback.py:318(extract)
       88    0.000    0.000    0.004    0.000 deprecation.py:353(delete_parameter)
      717    0.000    0.000    0.019    0.000 inspect.py:3081(signature)
      576    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
     3989    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
     2540    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._autograd_init}
      717    0.000    0.000    0.019    0.000 inspect.py:2829(from_callable)
      644    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
      261    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      580    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      634    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      591    0.000    0.000    0.001    0.000 posixpath.py:64(isabs)
        1    0.000    0.000    0.002    0.002 pyplot.py:2293(_setup_pyplot_info_docstrings)
       77    0.000    0.000    0.004    0.000 typing.py:626(__getitem__)
      196    0.000    0.000    0.013    0.000 sre_compile.py:598(_code)
      482    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
     2178    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      101    0.000    0.000    0.001    0.000 inspect.py:535(_finddoc)
       32    0.000    0.000    0.006    0.000 colors.py:915(from_list)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1466(_guarded_repr_or_str)
       14    0.000    0.000    0.063    0.005 __init__.py:2(<module>)
       63    0.000    0.000    0.002    0.000 colors.py:987(<dictcomp>)
      410    0.000    0.000    0.003    0.000 pyparsing.py:1423(copy)
        2    0.000    0.000    0.000    0.000 {built-in method linspace}
      636    0.000    0.000    0.000    0.000 typing.py:322(__hash__)
    53/51    0.000    0.000    0.327    0.006 <frozen importlib._bootstrap_external>:1040(create_module)
      834    0.000    0.000    0.001    0.000 inspect.py:504(_is_wrapper)
  222/189    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      514    0.000    0.000    0.015    0.000 re.py:182(search)
       67    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
        1    0.000    0.000    0.003    0.003 subprocess.py:1412(_execute_child)
      197    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      460    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      649    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
      127    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.267    0.267 pyplot.py:19(<module>)
      196    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.011    0.011 mathtext.py:16(<module>)
      355    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
       11    0.000    0.000    0.000    0.000 function.py:102(__init__)
       29    0.000    0.000    0.000    0.000 _utils.py:35(_dummy_type)
       13    0.000    0.000    0.001    0.000 enum.py:659(<listcomp>)
      426    0.000    0.000    0.004    0.000 colors.py:137(is_color_like)
        2    0.000    0.000    0.285    0.143 __init__.py:7(<module>)
      843    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     2253    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        2    0.000    0.000    0.022    0.011 __init__.py:9(<module>)
      192    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       17    0.000    0.000    0.005    0.000 rcsetup.py:880(validate_cycler)
       32    0.000    0.000    0.002    0.000 colors.py:302(to_rgba_array)
      127    0.000    0.000    0.001    0.000 codecs.py:319(decode)
      171    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
      780    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      117    0.000    0.000    0.003    0.000 typing.py:638(copy_with)
       60    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       67    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      410    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       37    0.000    0.000    0.005    0.000 __init__.py:1252(_add_data_doc)
       32    0.000    0.000    0.000    0.000 typing.py:535(__init__)
    84/52    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      354    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
       12    0.000    0.000    0.002    0.000 _builtins.py:109(_get_builtin_table)
      426    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.003    0.003 os.py:980(popen)
     2138    0.000    0.000    0.000    0.000 inspect.py:2529(kind)
       40    0.000    0.000    0.002    0.000 typing.py:765(__getitem_inner__)
        1    0.000    0.000    0.019    0.019 pyparsing.py:96(<module>)
      138    0.000    0.000    0.004    0.000 rcsetup.py:85(f)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:2170(lstsq)
        1    0.000    0.000    0.008    0.008 cm.py:32(_gen_cmap_registry)
       30    0.000    0.000    0.001    0.000 __init__.py:1216(getLogger)
       12    0.000    0.000    0.001    0.000 __init__.py:1901(_define_aliases)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
      722    0.000    0.000    0.000    0.000 rcsetup.py:241(validator)
       67    0.000    0.000    0.001    0.000 pyparsing.py:4011(__init__)
        1    0.000    0.000    0.004    0.004 _mathtext.py:2506(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
      108    0.000    0.000    0.000    0.000 posixpath.py:75(join)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:554(__init__)
        1    0.000    0.000    0.001    0.001 _torch_docs.py:1(<module>)
       17    0.000    0.000    0.005    0.000 enum.py:394(_create_)
      117    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       27    0.000    0.000    0.012    0.000 linecache.py:82(updatecache)
     1963    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      239    0.000    0.000    0.003    0.000 rcsetup.py:370(validate_color_for_prop_cycle)
      769    0.000    0.000    0.000    0.000 __init__.py:825(<lambda>)
      166    0.000    0.000    0.000    0.000 colors.py:564(__init__)
      163    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.003    0.003 tokenize.py:21(<module>)
        1    0.000    0.000    0.011    0.011 numeric.py:1(<module>)
      779    0.000    0.000    0.000    0.000 typing.py:618(<genexpr>)
      126    0.000    0.000    0.000    0.000 colors.py:846(__init__)
       40    0.000    0.000    0.000    0.000 colors.py:1028(__init__)
       17    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
        1    0.000    0.000    0.179    0.179 __init__.py:106(<module>)
      235    0.000    0.000    0.000    0.000 function_base.py:244(iterable)
        1    0.000    0.000    0.012    0.012 _axes.py:46(Axes)
      254    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
      213    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       32    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      709    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
        1    0.000    0.000    0.023    0.023 core.py:179(read_style_directory)
       83    0.000    0.000    0.001    0.000 pyparsing.py:3870(__init__)
      503    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
     72/4    0.000    0.000    0.001    0.000 pyparsing.py:1835(_parseCache)
      448    0.000    0.000    0.001    0.000 _tensor_docs.py:8(add_docstr_all)
      196    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      202    0.000    0.000    0.012    0.000 traceback.py:282(line)
       64    0.000    0.000    0.003    0.000 rcsetup.py:104(<listcomp>)
      196    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
      380    0.000    0.000    0.016    0.000 __init__.py:604(__getitem__)
    63/11    0.000    0.000    0.003    0.000 pyparsing.py:4049(parseImpl)
        1    0.000    0.000    0.000    0.000 nccl.py:1(<module>)
      101    0.000    0.000    0.000    0.000 inspect.py:525(_findclass)
      392    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       32    0.000    0.000    0.000    0.000 enum.py:479(_find_new_)
       67    0.000    0.000    0.000    0.000 pyparsing.py:4442(__init__)
        1    0.000    0.000    0.000    0.000 _color_data.py:995(<dictcomp>)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       35    0.000    0.000    0.000    0.000 transforms.py:1299(__init_subclass__)
       60    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      100    0.000    0.000    0.002    0.000 typing.py:749(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:835(<dictcomp>)
       52    0.000    0.000    0.000    0.000 core.py:895(__init__)
        1    0.000    0.000    0.074    0.074 rcsetup.py:14(<module>)
      576    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
       30    0.000    0.000    0.001    0.000 _collections_abc.py:824(update)
        1    0.000    0.000    0.388    0.388 __init__.py:82(<module>)
      171    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      677    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      634    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       15    0.000    0.000    0.000    0.000 _jit_internal.py:251(boolean_dispatch)
      137    0.000    0.000    0.000    0.000 pyplot.py:2040(<genexpr>)
        1    0.000    0.000    0.000    0.000 spines.py:14(Spine)
        1    0.000    0.000    0.012    0.012 _script.py:8(<module>)
       27    0.000    0.000    0.000    0.000 pathlib.py:523(_select_from)
        3    0.000    0.000    0.012    0.004 rnn.py:1(<module>)
      763    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      194    0.000    0.000    0.000    0.000 pyplot.py:83(_copy_docstring_and_deprecators)
        1    0.000    0.000    0.001    0.001 _base.py:542(_AxesBase)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      732    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      274    0.000    0.000    0.000    0.000 function_base.py:419(_needs_add_docstring)
      274    0.000    0.000    0.000    0.000 function_base.py:437(_add_docstring)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._dist_autograd_init}
        1    0.000    0.000    0.003    0.003 socket.py:47(<module>)
       81    0.000    0.000    0.000    0.000 enum.py:458(_find_data_type)
      410    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
      494    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       27    0.000    0.000    0.006    0.000 pyparsing.py:3294(__init__)
       60    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 inspect.py:316(getmembers)
      432    0.000    0.000    0.000    0.000 colors.py:241(<genexpr>)
        1    0.000    0.000    0.011    0.011 random.py:38(<module>)
       85    0.000    0.000    0.001    0.000 deprecation.py:241(finalize)
      325    0.000    0.000    0.000    0.000 typing.py:660(__eq__)
      115    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
